name,price,description
Fried Calamari,$15.00,Bloody Mary ketchup sauce
3 Meatballs,$14.00,"Pork and beef, Parmesan, parsley, basil marinara and crostini."
Mac and Cheese,$14.00,with roasted bred crumb
5 Dolma,$9.00,"Tender vine leaves rolled with rice, onion, fresh herbs and lemon olive oil."
Chicken Wings,$16.00,Ranch Dressing
Mozzarella Caprese,$12.00,"Fresh Mozzarella cheese, fresh tomato, basil, balsamic vinaigrette,olive oil"
Hummus,$9.00,"Pureed garbanzo beans, garlic, olive oil, lemon, tahini,pita bread"
Bruschetta,$9.00,"Crostini, diced tomato, garlic, basil, white balsamic, parmesan cheese"
Spring Mix Salad,$11.00,"Olives,tomato,onion,dried figs,permesan cheese, balsamic vinaigrette."
Caesar Salad,$11.00,"Romaine lettuce, Parmesan cheese, croutons and Caesar dressing."
Margherita Pizza,$18.00,"Tomato sauce, mozzarella cheese, fresh tomato and basil."
Sausage & Pepperoni Pizza,$21.00,"Tomato sauce, Mozzarella and Parmesan cheese."
Mushroom Pizza,$21.00,"Tomato sauce, seasonal mushrooms, arugula, mozzarella cheese, white truffle oil."
Prosciutto Pizza,$21.00,"Tomato sauce, caramelized onion, arugula, mozzarella and parmesan cheese."
Spaghetti Meatballs,$21.00,"Beef, pork, garlic and basil marinara sauce."
Penne and Chicken,$21.00,"Tender chicken, seasonal mushroom, spinach, sun dried tomatoes and cream sauce."
Spinach Ravioli,$20.00,"Ricotta cheese, fresh tomato ,feta cheese, garlic, basil and marinara sauce."
Potato Gnocchi,$19.00,Parmesan & gorgonzola cheese in cream sauce
Seafood Linguine,$29.00,"Mussels, prawns, salmon, calamari, garlic white wine marinara sauce"
Flat Iron Steak,$37.00,"Green peppercorn oregano butter sauce , french fries and vegetables"
Atlantic Salmon,$27.00,"Grilled salmon, sorrel, oven dried tomato, olive oil, jasmine rice and vegetables."
Chicken Shissh Kebab,$23.00,"Marinated chicken skewer, jasmine rice and vegetables."
8 oz. Cheese Burger,$18.00,"Homemade bread roll, beef patty, lettuce, tomato, onion, cheddar cheese, house aioli and french fries."
8 oz. Lamb and Beef Burger,$19.00,"Homemade bread roll, lamb and beef, chili flakes, red onion, spinach, feta cheese, house aioli and french fries."
Soma Burger,$19.00,"Home made bread, pepperoni, caramelized onion, lettuce, tomato, cheddar cheese, house aioli, french fries"
Chicken Sandwich,$18.00,"Grilled chicken, lettuce, tomato, onion, house aioli, french fries"
